Red_Freq,Green_Freq,Blue_Freq,Color
229,192,267,BLUE
251,175,260,BLUE
258,138,227,BLUE
267,120,211,BLUE
306,128,230,BLUE
372,148,264,BLUE
378,147,263,BLUE
392,123,237,BLUE
395,125,239,BLUE
402,130,248,BLUE
409,127,245,BLUE
410,124,241,BLUE
410,129,251,BLUE
412,131,252,BLUE
415,127,245,BLUE
418,125,244,BLUE
418,142,266,BLUE
419,133,254,BLUE
421,134,255,BLUE
425,125,244,BLUE
425,130,253,BLUE
426,125,245,BLUE
434,128,250,BLUE
438,138,263,BLUE
440,134,259,BLUE
440,141,269,BLUE
441,124,245,BLUE
442,124,247,BLUE
442,143,273,BLUE
445,134,261,BLUE
448,139,268,BLUE
106,347,427,RED
107,337,415,RED
111,335,387,RED
111,354,440,RED
112,322,382,RED
112,347,427,RED
112,363,451,RED
113,350,430,RED
115,359,442,RED
116,347,424,RED
118,328,355,RED
120,359,442,RED
122,338,366,RED
122,372,455,RED
123,265,225,RED
125,366,425,RED
132,365,422,RED
140,341,389,RED
