Red_Freq,Green_Freq,Blue_Freq,Color
297,291,318,BLACK
344,355,389,BLACK
356,358,387,BLACK
359,377,414,BLACK
362,384,426,BLACK
365,372,408,BLACK
374,392,435,BLACK
375,368,411,BLACK
382,407,439,BLACK
383,397,438,BLACK
385,403,439,BLACK
385,404,438,BLACK
388,417,447,BLACK
393,424,494,BLACK
395,389,433,BLACK
400,415,455,BLACK
400,415,455,BLACK
403,424,462,BLACK
404,423,469,BLACK
406,418,459,BLACK
406,437,470,BLACK
407,422,463,BLACK
408,447,486,BLACK
416,423,465,BLACK
428,466,506,BLACK
429,449,506,BLACK
430,467,507,BLACK
432,444,496,BLACK
432,493,548,BLACK
433,468,514,BLACK
435,451,524,BLACK
435,473,536,BLACK
435,486,514,BLACK
436,499,535,BLACK
441,428,469,BLACK
445,469,527,BLACK
445,483,526,BLACK
445,488,524,BLACK
446,461,505,BLACK
448,518,575,BLACK
451,486,571,BLACK
451,505,569,BLACK
452,453,499,BLACK
452,462,506,BLACK
455,500,543,BLACK
456,468,574,BLACK
456,475,527,BLACK
457,426,447,BLACK
461,452,477,BLACK
465,459,496,BLACK
466,505,541,BLACK
471,518,566,BLACK
472,482,528,BLACK
472,504,574,BLACK
473,478,522,BLACK
473,511,546,BLACK
475,496,531,BLACK
475,520,567,BLACK
476,492,521,BLACK
476,495,519,BLACK
476,521,555,BLACK
479,509,568,BLACK
479,525,577,BLACK
484,497,542,BLACK
489,489,526,BLACK
493,498,544,BLACK
494,545,600,BLACK
496,535,583,BLACK
497,495,528,BLACK
499,532,579,BLACK
502,506,552,BLACK
505,577,632,BLACK
507,527,587,BLACK
508,570,628,BLACK
514,550,603,BLACK
518,540,603,BLACK
521,546,591,BLACK
524,593,644,BLACK
526,599,647,BLACK
528,582,598,BLACK
529,552,605,BLACK
529,574,619,BLACK
529,624,677,BLACK
537,545,592,BLACK
539,579,635,BLACK
539,630,652,BLACK
540,612,663,BLACK
541,620,649,BLACK
542,608,641,BLACK
543,568,618,BLACK
546,593,639,BLACK
548,612,631,BLACK
550,575,626,BLACK
550,597,656,BLACK
551,609,642,BLACK
552,569,617,BLACK
552,602,639,BLACK
555,601,647,BLACK
558,584,638,BLACK
559,584,637,BLACK
560,623,676,BLACK
562,622,699,BLACK
563,588,647,BLACK
567,597,641,BLACK
569,650,721,BLACK
570,597,655,BLACK
579,626,667,BLACK
582,679,727,BLACK
585,612,689,BLACK
592,607,687,BLACK
594,598,642,BLACK
595,617,688,BLACK
598,617,671,BLACK
603,621,685,BLACK
607,603,666,BLACK
607,617,663,BLACK
608,612,657,BLACK
613,656,714,BLACK
623,642,709,BLACK
628,700,760,BLACK
639,705,758,BLACK
644,700,740,BLACK
662,746,794,BLACK
668,693,775,BLACK
681,700,766,BLACK
362,173,266,BLUE
364,172,266,BLUE
368,175,269,BLUE
383,190,290,BLUE
387,194,295,BLUE
388,161,262,BLUE
388,162,263,BLUE
389,162,265,BLUE
392,187,287,BLUE
410,197,304,BLUE
415,182,288,BLUE
419,175,285,BLUE
425,193,304,BLUE
435,186,300,BLUE
435,203,315,BLUE
444,203,321,BLUE
445,207,321,BLUE
446,175,289,BLUE
454,212,331,BLUE
456,208,329,BLUE
463,197,317,BLUE
466,187,306,BLUE
470,207,331,BLUE
471,173,294,BLUE
474,213,335,BLUE
477,204,329,BLUE
483,215,340,BLUE
488,199,327,BLUE
493,208,333,BLUE
505,212,346,BLUE
516,219,355,BLUE
165,188,141,GREEN
169,197,137,GREEN
173,205,139,GREEN
173,207,135,GREEN
175,203,148,GREEN
176,208,146,GREEN
187,239,165,GREEN
190,224,155,GREEN
195,231,159,GREEN
197,234,161,GREEN
197,235,166,GREEN
198,233,166,GREEN
198,237,165,GREEN
200,233,166,GREEN
200,234,172,GREEN
202,244,175,GREEN
202,244,162,GREEN
206,249,169,GREEN
207,251,173,GREEN
210,248,171,GREEN
212,249,182,GREEN
215,257,178,GREEN
218,261,181,GREEN
220,260,194,GREEN
221,259,192,GREEN
227,270,202,GREEN
228,272,204,GREEN
232,277,199,GREEN
237,276,208,GREEN
244,300,212,GREEN
252,304,219,GREEN
128,366,462,RED
138,378,471,RED
139,375,458,RED
145,360,436,RED
147,391,478,RED
148,344,407,RED
148,384,461,RED
149,346,404,RED
149,353,416,RED
150,369,449,RED
151,376,457,RED
152,403,489,RED
154,367,444,RED
155,368,437,RED
156,345,404,RED
156,365,433,RED
157,324,372,RED
157,407,496,RED
161,372,437,RED
162,393,457,RED
164,432,524,RED
166,382,449,RED
166,414,488,RED
167,375,448,RED
167,408,484,RED
168,372,441,RED
170,444,534,RED
182,424,514,RED
117,118,128,WHITE
118,119,129,WHITE
118,120,130,WHITE
126,118,131,WHITE
131,117,131,WHITE
105,267,188,YELLOW
106,269,190,YELLOW
108,285,198,YELLOW
111,275,196,YELLOW
119,271,198,YELLOW
121,292,206,YELLOW
128,281,215,YELLOW
128,286,198,YELLOW
135,292,212,YELLOW
