Red_Freq,Green_Freq,Blue_Freq,Color
289,236,320,BLACK
298,247,335,BLACK
301,242,327,BLACK
303,247,332,BLACK
309,248,335,BLACK
309,252,341,BLACK
313,250,331,BLACK
313,251,347,BLACK
314,254,340,BLACK
315,258,351,BLACK
317,260,356,BLACK
317,266,353,BLACK
319,258,346,BLACK
319,267,357,BLACK
321,256,350,BLACK
322,257,350,BLACK
322,260,343,BLACK
322,262,351,BLACK
323,259,351,BLACK
323,265,355,BLACK
324,257,340,BLACK
325,266,358,BLACK
325,267,348,BLACK
326,264,355,BLACK
326,264,350,BLACK
326,268,361,BLACK
327,268,358,BLACK
328,262,353,BLACK
328,267,361,BLACK
328,269,360,BLACK
329,262,352,BLACK
329,264,360,BLACK
330,267,360,BLACK
330,269,367,BLACK
330,271,369,BLACK
332,265,362,BLACK
332,272,367,BLACK
333,271,366,BLACK
334,272,367,BLACK
334,274,368,BLACK
334,274,372,BLACK
334,274,370,BLACK
335,272,370,BLACK
335,274,376,BLACK
336,276,368,BLACK
336,276,371,BLACK
337,269,353,BLACK
337,271,371,BLACK
337,272,366,BLACK
338,271,368,BLACK
338,277,372,BLACK
339,272,371,BLACK
339,276,376,BLACK
339,280,375,BLACK
340,275,369,BLACK
340,276,374,BLACK
340,278,375,BLACK
340,279,372,BLACK
340,283,378,BLACK
342,276,368,BLACK
342,280,376,BLACK
342,280,376,BLACK
342,291,411,BLACK
343,277,373,BLACK
343,279,379,BLACK
343,281,386,BLACK
344,280,378,BLACK
344,282,381,BLACK
344,284,384,BLACK
345,280,380,BLACK
345,280,380,BLACK
345,283,382,BLACK
345,284,390,BLACK
346,277,374,BLACK
346,284,383,BLACK
347,280,382,BLACK
347,282,375,BLACK
347,283,386,BLACK
348,280,381,BLACK
348,280,381,BLACK
348,281,378,BLACK
348,284,382,BLACK
348,285,389,BLACK
348,294,390,BLACK
349,277,360,BLACK
349,282,387,BLACK
349,308,421,BLACK
350,282,389,BLACK
350,283,384,BLACK
350,284,381,BLACK
350,288,391,BLACK
350,290,393,BLACK
351,289,394,BLACK
351,289,392,BLACK
351,289,389,BLACK
352,285,386,BLACK
352,288,383,BLACK
352,288,392,BLACK
353,281,384,BLACK
353,285,378,BLACK
353,286,390,BLACK
353,288,384,BLACK
353,293,404,BLACK
354,279,374,BLACK
354,285,379,BLACK
354,286,386,BLACK
354,289,392,BLACK
354,289,393,BLACK
354,292,390,BLACK
354,292,397,BLACK
355,284,387,BLACK
355,286,389,BLACK
355,299,411,BLACK
356,287,390,BLACK
356,290,394,BLACK
357,290,393,BLACK
357,290,393,BLACK
357,290,392,BLACK
358,292,388,BLACK
358,293,392,BLACK
358,297,403,BLACK
359,290,392,BLACK
359,292,392,BLACK
359,294,399,BLACK
359,300,407,BLACK
360,291,382,BLACK
360,292,395,BLACK
360,292,396,BLACK
360,294,389,BLACK
360,298,404,BLACK
361,293,398,BLACK
361,297,401,BLACK
361,298,402,BLACK
362,304,405,BLACK
363,294,399,BLACK
363,294,398,BLACK
363,296,401,BLACK
363,296,399,BLACK
363,301,417,BLACK
364,297,402,BLACK
365,287,389,BLACK
365,293,402,BLACK
365,294,401,BLACK
365,295,404,BLACK
365,297,402,BLACK
365,298,401,BLACK
365,298,408,BLACK
365,299,402,BLACK
365,300,403,BLACK
365,304,409,BLACK
366,295,395,BLACK
366,295,395,BLACK
366,300,407,BLACK
366,301,406,BLACK
367,293,403,BLACK
367,299,403,BLACK
367,310,425,BLACK
368,290,397,BLACK
368,301,407,BLACK
369,296,406,BLACK
369,298,403,BLACK
369,301,407,BLACK
369,303,413,BLACK
369,303,409,BLACK
369,303,416,BLACK
369,304,413,BLACK
