Red_Freq,Green_Freq,Blue_Freq,Color
408,417,458,BLACK
409,408,469,BLACK
410,452,500,BLACK
418,387,458,BLACK
418,411,479,BLACK
428,428,486,BLACK
429,417,500,BLACK
439,442,516,BLACK
448,494,563,BLACK
451,465,526,BLACK
460,471,531,BLACK
475,439,525,BLACK
476,465,494,BLACK
484,512,594,BLACK
491,521,589,BLACK
495,512,587,BLACK
498,493,571,BLACK
499,479,565,BLACK
500,521,615,BLACK
501,508,611,BLACK
501,547,601,BLACK
503,538,594,BLACK
503,547,721,BLACK
504,518,586,BLACK
506,513,621,BLACK
507,551,605,BLACK
508,564,639,BLACK
509,554,609,BLACK
513,509,565,BLACK
514,558,659,BLACK
516,485,526,BLACK
518,503,579,BLACK
520,519,597,BLACK
521,565,634,BLACK
522,555,632,BLACK
522,557,656,BLACK
524,562,632,BLACK
531,497,597,BLACK
531,506,575,BLACK
533,566,662,BLACK
537,556,620,BLACK
540,514,599,BLACK
545,540,661,BLACK
545,572,647,BLACK
548,568,649,BLACK
549,540,642,BLACK
549,564,639,BLACK
550,564,644,BLACK
554,537,627,BLACK
554,589,659,BLACK
558,575,629,BLACK
559,515,586,BLACK
559,595,667,BLACK
563,573,647,BLACK
569,595,682,BLACK
569,606,688,BLACK
571,590,646,BLACK
572,547,604,BLACK
576,600,690,BLACK
577,563,659,BLACK
577,565,655,BLACK
579,623,691,BLACK
582,604,675,BLACK
584,657,753,BLACK
587,579,671,BLACK
593,676,778,BLACK
594,573,654,BLACK
595,580,681,BLACK
596,570,638,BLACK
602,594,664,BLACK
602,630,712,BLACK
603,582,686,BLACK
604,639,730,BLACK
605,581,686,BLACK
605,606,721,BLACK
608,556,616,BLACK
608,649,733,BLACK
613,590,669,BLACK
614,589,705,BLACK
616,678,762,BLACK
617,537,570,BLACK
617,672,768,BLACK
620,680,777,BLACK
622,660,754,BLACK
622,680,811,BLACK
631,598,704,BLACK
632,619,736,BLACK
633,624,713,BLACK
638,637,699,BLACK
641,670,766,BLACK
650,678,808,BLACK
651,667,767,BLACK
656,672,771,BLACK
656,673,774,BLACK
656,676,771,BLACK
657,723,807,BLACK
662,676,777,BLACK
662,692,814,BLACK
662,700,783,BLACK
663,664,794,BLACK
665,691,764,BLACK
673,676,736,BLACK
674,631,700,BLACK
674,729,839,BLACK
680,722,850,BLACK
690,677,799,BLACK
696,690,823,BLACK
706,745,848,BLACK
707,693,814,BLACK
709,747,856,BLACK
709,748,859,BLACK
710,749,858,BLACK
713,750,860,BLACK
714,693,813,BLACK
715,753,865,BLACK
729,730,835,BLACK
753,713,821,BLACK
770,747,889,BLACK
770,764,929,BLACK
776,730,821,BLACK
780,770,879,BLACK
803,794,935,BLACK
817,776,923,BLACK
835,812,961,BLACK
454,212,345,BLUE
471,218,357,BLUE
472,219,358,BLUE
474,259,394,BLUE
479,221,361,BLUE
483,226,367,BLUE
485,230,370,BLUE
509,248,396,BLUE
516,259,409,BLUE
531,253,405,BLUE
535,260,423,BLUE
537,230,390,BLUE
574,271,435,BLUE
576,257,430,BLUE
579,262,437,BLUE
586,264,441,BLUE
593,260,433,BLUE
596,248,433,BLUE
596,268,448,BLUE
597,222,399,BLUE
606,274,456,BLUE
624,211,388,BLUE
625,267,455,BLUE
628,289,469,BLUE
634,278,466,BLUE
643,294,486,BLUE
644,274,465,BLUE
666,293,488,BLUE
680,273,474,BLUE
682,297,500,BLUE
703,305,513,BLUE
184,232,175,GREEN
189,245,179,GREEN
189,268,190,GREEN
193,244,183,GREEN
195,255,177,GREEN
198,266,182,GREEN
202,266,189,GREEN
202,269,184,GREEN
204,266,192,GREEN
205,276,197,GREEN
205,276,196,GREEN
206,303,214,GREEN
211,256,192,GREEN
212,282,196,GREEN
214,265,187,GREEN
215,262,197,GREEN
216,267,198,GREEN
218,257,191,GREEN
220,273,192,GREEN
221,273,196,GREEN
225,277,206,GREEN
226,280,206,GREEN
226,282,203,GREEN
227,279,209,GREEN
228,284,204,GREEN
229,289,206,GREEN
233,294,209,GREEN
234,288,213,GREEN
234,291,209,GREEN
234,295,209,GREEN
235,307,218,GREEN
184,409,504,RED
186,494,640,RED
188,424,522,RED
188,447,548,RED
189,406,494,RED
194,453,551,RED
194,463,564,RED
196,423,518,RED
198,461,564,RED
199,478,588,RED
202,451,550,RED
203,464,559,RED
203,468,575,RED
204,464,575,RED
204,474,574,RED
204,497,609,RED
205,490,604,RED
205,492,609,RED
206,492,605,RED
207,490,602,RED
208,459,563,RED
209,482,610,RED
213,505,635,RED
214,476,576,RED
218,490,595,RED
223,534,662,RED
225,495,597,RED
232,549,684,RED
238,501,605,RED
112,106,122,WHITE
114,107,123,WHITE
118,114,130,WHITE
131,124,142,WHITE
152,134,158,WHITE
134,331,242,YELLOW
140,323,241,YELLOW
140,350,258,YELLOW
142,347,261,YELLOW
142,364,264,YELLOW
145,344,247,YELLOW
147,322,244,YELLOW
147,346,252,YELLOW
171,367,265,YELLOW
